Brand,Type,Color,Name,TD,Owned,UUID
BambuLab Basic,PLA,#00ae42,BambuLab Green,2,false,23a3aa5b-7c28-4688-a783-d299cbb8623a
BambuLab Basic,PLA,#e7ceb5,Beige,8,false,0e78ff37-53fa-40b4-a752-7fd38f38f142
BambuLab Basic,PLA,#000000,Black,0.6,false,43eb13d1-f422-4d84-9bce-37a0e10a2158
BambuLab Basic,PLA,#00358e,Blue,4,false,766f745e-c390-4c9d-8653-b16db19a1228
BambuLab Basic,PLA,#4c5f71,Blue Gray,3,false,d8613aaf-41c3-4b82-a885-402554966333
BambuLab Basic,PLA,#9d432c,Brown,2,false,17ea47fa-6eb6-4109-911c-ea608f35cc85
BambuLab Basic,PLA,#8e9089,Gray,2,false,03b7beb6-5f62-4852-a70a-a0af973bc9b7
BambuLab Basic,PLA,#003b3b,Green,2,false,beebebca-114a-49ad-a581-c72a369ccaa4
BambuLab Basic,PLA,#ffffff,Jade White,5,false,29d0549f-7950-4e60-b9e5-aa081f71d61b
BambuLab Basic,PLA,#ff6a13,Orange,7,false,7ef6136d-ae6c-47fa-96df-9a130cfe5855
BambuLab Basic,PLA,#ff5869,Pink,8,false,d0052b88-70f8-488f-b071-0d62f887b51d
BambuLab Basic,PLA,#c00d1e,Red,4,false,4fb13a86-6187-4300-95f2-ac2c877aae5e
BambuLab Basic,PLA,#a6a9aa,Silver,0.5,false,940c9f5c-e618-4a2a-b11b-f1de28e7895e
BambuLab Basic,PLA,#fce300,Yellow,6,false,3d555b4e-0304-423a-b0b7-2a09bbaf8186
